Community Area Number,suburb,pop,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME ,HARDSHIP INDEX,CRIMES,1st Draw,2nd Draw,3rd Draw,4th Draw,5th Draw,6th Draw,7th Draw,8th Draw,9th Draw,10th Draw,11th Draw,3 Minute,5 Minute,7 Minute,10 Minute,15 Minute,20 Minute,importance,avg draws,avg minute
1,Rogers Park,54991,7.7,23.6,8.7,18.2,27.5,23939,39,3678,6.085,6.908846154,7.430769231,7.741923077,19.64884615,10.75923077,11.26538462,12.28,13.00730769,12.115,8.274230769,3.906538462,2.317307692,0.516923077,0.108461538,-1,-1,0.604625,10.5015035,0.969846154
2,West Ridge,71942,7.8,17.2,8.8,20.8,38.5,23040,46,3297,6.634285714,7.584285714,8.49,10.25571429,13.11142857,14.54571429,15.05,17.76428571,17.26714286,16.69142857,11.95142857,6.015714286,0.127142857,-0.421428571,-0.447142857,-1,-1,0.505758571,12.66779221,0.654857143
3,Uptown,56362,3.8,24,8.9,11.8,22.2,35787,20,3574,4.7975,5.682083333,6.76375,6.955833333,7.156666667,8.4,9.129583333,9.433333333,10.35125,11.33958333,7.989166667,3.864166667,0.620416667,0.560833333,0.477916667,-1,-1,0.620837083,7.999886364,0.704666667
4,Lincoln Square,39493,3.4,10.9,8.2,13.4,25.5,37524,17,1990,7.354285714,8.653142857,16.71142857,12.68628571,12.62771429,13.22257143,13.92457143,14.30628571,15.56142857,16.55428571,8.843142857,6.241428571,0.942285714,0.343428571,0.242285714,-1,-1,0.608579714,12.76774026,1.153885714
5,North Center,31867,0.3,7.5,5.2,4.5,26.2,57123,6,1407,5.605882353,7.737058824,9.144705882,8.754705882,8.590588235,8.922352941,7.991176471,8.388823529,9.221176471,10.02411765,5.841176471,3.512352941,0.831764706,0.712941176,0.618823529,-0.635294118,-1,0.61589,8.20197861,0.808117647
6,Lake View,94368,1.1,11.4,4.7,2.6,17,60058,5,6090,7.19826087,9.222608696,10.48608696,12.99,15.06456522,16.39021739,17.89347826,17.66869565,18.74065217,18.79478261,13.93413043,4.992826087,1.055217391,0.334565217,0.267173913,-0.908478261,-1,0.593933696,14.39849802,0.94826087
7,Lincoln Park,64116,0.8,12.3,5.1,3.6,21.5,71551,2,4250,7.578979592,8.064285714,9.29755102,10.31326531,11.95265306,12.14816327,12.56755102,15.35408163,13.28040816,12.75102041,12.04081633,9.743673469,2.42244898,0.403673469,0.160816327,-0.979591837,-1,0.615928776,11.39534323,2.150204082
8,Near North Side,80484,1.9,12.9,7,2.5,22.6,88669,1,10581,20.20117647,19.38882353,17.48117647,15.08941176,15.36176471,15.81823529,16.24941176,16.72294118,16.99058824,15.94058824,6.701176471,10.16282353,6.356470588,4.267647059,3.907058824,1.882352941,-1,0.596485294,15.99502674,5.115270588
9,Edison Park,11187,1.1,3.3,6.5,7.4,35.3,40959,8,310,8.959545455,10.04136364,10.55272727,11.31727273,12.81636364,13.78318182,14.37545455,15.80590909,16.68681818,16.30409091,11.25727273,5.49,1.456818182,2.458636364,1.029090909,-1,-1,0.620000909,12.9,1.686909091
10,Norwood Park,37023,2,5.4,9,11.5,39.5,32875,21,1325,10.67085106,8.980425532,9.432340426,9.305531915,10.98468085,11.20553191,11.47489362,12.17191489,12.26787234,11.77446809,7.474680851,3.644255319,0.15212766,-0.138723404,-0.175744681,-0.766382979,-1,0.628513617,10.52210832,0.343106383
11,Jefferson Park,25448,2.7,8.6,12.4,13.4,35.5,27751,25,1075,7.353478261,9.793043478,9.825652174,11.44913043,12.85130435,12.45521739,15.04956522,15.38826087,15.58086957,15.5326087,8.749565217,4.254347826,1.125652174,0.905217391,0.343043478,-0.505652174,-1,0.611311304,12.18442688,1.024521739
12,Forest Glen,18508,1.1,7.5,6.8,4.9,40.5,44164,11,574,6.232972973,7.534324324,7.933513514,9.278108108,10.67864865,12.30918919,13.22243243,14.48540541,16.43486486,16.71864865,13.06189189,5.695405405,0.188918919,-0.321621622,-0.423513514,-0.925405405,-1,0.620275135,11.62636364,0.642756757
13,North Park,17931,3.9,13.2,9.9,14.4,39,26576,33,974,4.915,6.23,7.07,7.4475,8.5525,9.6625,9.75,9.5025,9.935,12.6,12.615,3.785,0.085,0.07,0.315,-1,-1,0.656323006,8.934545455,0.451
14,Albany Park,51542,11.3,19.2,10,32.9,32,21323,53,2421,6.653888889,14.925,8.566111111,7.301666667,8.693333333,10.01833333,11.44777778,12.84222222,13.59888889,12.98888889,7.15,3.166666667,0.053888889,-0.069444444,-0.143333333,-0.944444444,-1,0.608895556,10.38055556,0.212666667
15,Portage Park,64124,4.1,11.6,12.6,19.3,34,24336,35,3267,13.54809524,9.532857143,9.418571429,9.628095238,8.75,10.76857143,10.93380952,14.16380952,12.52666667,12.15666667,5.121904762,3.186190476,0.084285714,0.103809524,0.004285714,-1,-1,0.634285714,10.59536797,0.275714286
16,Irving Park,53359,6.3,13.1,10,22.4,31.6,27249,34,3002,5.875882353,6.958823529,8.519411765,9.587647059,9.713529412,9.358823529,8.898235294,10.45,10.90705882,12.35705882,6.299411765,5.442352941,0.454117647,0.325882353,0.224117647,-0.692352941,-1,0.620001765,8.993262032,0.950823529
20,Hermosa,25010,6.9,20.5,13.1,41.6,36.4,15089,71,1564,6.472222222,8.398888889,10.78555556,9.897777778,9.587777778,10.71444444,11.04111111,12.42444444,11.52111111,8.676666667,9.024444444,4.215555556,1.82,1.523333333,1.381111111,-1,-1,0.62001,9.867676768,1.388
21,Avondale,39262,6,15.3,9.2,24.7,31,20039,42,2298,7.697090909,7.212727273,9.046727273,9.567454545,9.917818182,10.594,11.50472727,12.14890909,13.84145455,12.72509091,7.755090909,5.184181818,0.375636364,0.144727273,0.040727273,-0.612909091,-1,0.620009455,10.18282645,0.826472727
22,Logan Square,73595,3.2,16.8,8.2,14.8,26.2,31908,23,5479,9.096842105,9.584473684,11.51973684,12.83184211,12.77684211,12.18605263,12.06921053,12.52157895,13.37210526,12.44421053,7.528157895,3.385789474,0.193684211,0.033157895,0.002631579,-0.942631579,-1,0.600794474,11.44827751,0.334526316
24,West Town,81432,2.3,14.7,6.6,12.9,21.7,43198,10,8254,14.13448276,30.37586207,27.66448276,20.26344828,15.53758621,15.14724138,14.9762069,14.78689655,14.4737931,14.8137931,8.231034483,5.112068966,1.79137931,1.606896552,1.284482759,-1,-1,0.609662759,17.30952978,1.558965517
25,Austin,98514,6.3,28.6,22.6,24.4,37.9,15957,73,16799,10.6252381,13.09492063,12.08714286,12.91238095,13.47285714,13.16,14.61539683,20.17349206,16.53380952,15.4484127,11.91873016,5.627460317,0.94,0.554126984,0.434126984,-0.795079365,-1,0.62000619,14.00385281,1.152126984
26,West Garfield Park,18001,9.4,41.7,25.8,24.5,43.6,10934,92,5795,9.421785714,11.02357143,12.99107143,13.415,12.98,13.76,14.86785714,16.22642857,15.08,13.40428571,8.9675,4.663214286,1.890357143,1.07,0.923928571,-0.65,-0.446428571,0.618216071,12.92159091,1.490214286
27,East Garfield Park,20567,8.2,42.4,19.6,21.3,43.2,12961,83,5053,8.422,14.097,14.825,16.188,14.47,16.47,14.719,14.152,14.568,15.003,6.493,4.654,1.744,0.911,0.787,0.078,-1,0.600004,13.58245455,1.4348
28,Near West Side,54881,3.8,20.6,10.7,9.6,22.2,44689,15,9487,8.106666667,9.248627451,9.078823529,9.324705882,9.97627451,11.38294118,12.53921569,11.48862745,13.43411765,13.06784314,7.632941176,5.685098039,1.492156863,0.887843137,0.719607843,-0.251960784,-1,0.620001373,10.4800713,1.50654902
29,North Lawndale,35912,7.4,43.1,21.2,27.6,42.7,12034,87,8830,5.401904762,7.264285714,7.802380952,9.187619048,10.95619048,10.86714286,11.71238095,12.83666667,13.39809524,12.70333333,6.792380952,3.254285714,1.135238095,1.996666667,1.491428571,0.004761905,-1,0.644518285,9.902034632,1.37647619
30,South Lawndale,79288,15.2,30.7,15.8,54.8,33.8,10402,96,4715,5.286551724,6.253793103,7.600689655,8.066206897,9.539310345,10.63965517,11.36137931,11.89448276,11.57793103,10.52206897,6.543793103,3.239655172,0.383793103,0.305517241,0.278965517,-0.549310345,-1,0.620004828,9.025987461,0.531724138
31,Lower West Side,35769,9.6,25.8,15.8,40.7,32.6,16444,76,2635,6.170588235,7.048823529,7.604117647,7.887058824,8.795882353,9.049411765,8.512352941,8.348823529,8.072352941,7.316470588,3.089411765,5.048235294,1.231764706,0.567058824,0.516470588,-0.284117647,-1,0.620001176,7.445026738,1.215882353
32,Loop,29283,1.5,14.7,5.7,3.1,13.5,65526,3,9040,6.476666667,7.1,9.1,5.666666667,7.633333333,11.63333333,9.366666667,8.133333333,8.133333333,8.366666667,9.566666667,2.516666667,1.643333333,1.54,1.296666667,-1,-1,0.553343333,8.288787879,0.999333333
33,Near South Side,21390,1.3,13.8,4.9,7.4,21.8,59077,7,1951,10.92,8.020909091,9.166363636,9.878181818,10.19454545,11.01545455,11.56454545,12.70727273,12.34818182,10.99909091,5.134545455,5.534545455,1.725454545,0.727272727,0.653636364,-0.263636364,-1,0.565488182,10.17719008,1.475454545
34,Armour Square,13391,5.7,40.1,16.7,34.5,38.3,16148,82,1012,6.500769231,7.225384615,9.205384615,12,11.88230769,12.05076923,11.98076923,11.63615385,11.10615385,10.97,3.17,5.581538462,3.615384615,1.346153846,1.262307692,0.061538462,-1,0.62,9.793426573,2.173384615
35,Douglas,18238,1.8,29.6,18.2,14.3,30.7,23791,47,2623,5.985,6.520833333,7.449166667,7.866666667,7.981666667,9.395,10.77666667,11.26083333,11.1175,11.38666667,5.6775,4.2525,0.405,0.035,-0.06,-1,-1,0.603341667,8.674318182,0.5265
36,Oakland,5918,1.3,39.7,28.7,18.4,40.4,19252,78,702,1.76,1.965,3.315,4.97,5.6,6.53,6.88,6.685,6.415,5.65,8.55,7.95,-1,-1,-1,-1,-1,0.62,5.301818182,0.59
38,Grand Boulevard,28006,3.3,29.3,24.3,15.9,39.5,23472,57,3318,20.37714286,13.00142857,17.32285714,12.52571429,10.35714286,10.32428571,10.58285714,9.994285714,10.60285714,11.05571429,0.791428571,6.952857143,4.298571429,3.7,3.405714286,2.701428571,-1,0.705724286,11.53961039,4.011714286
39,Kenwood,17841,2.4,21.7,15.7,11.3,35.4,35911,26,1421,10.71909091,16.61636364,16.46454545,17.72318182,18.35636364,18.50818182,19.42272727,18.64,18.51727273,17.31318182,9.375,7.612272727,4.240454545,3.196818182,2.252727273,0.290909091,-1,0.622737273,16.51417355,3.318636364
40,Washington Park,11717,5.6,42.1,28.6,25.4,42.8,13785,88,2715,8.970588235,12.29411765,13.16235294,13.22529412,14.99176471,16.04117647,16.51705882,16.20294118,15.79882353,13.66882353,10.37117647,10.08411765,1.980588235,1.100588235,1.088823529,0.174705882,-1,0.62001,13.74946524,2.685764706
