number,name,population,income,requests,latinos,blacks,white,asian,other,1990 Life Expectancy,1990 Lower 95% CI,1990 Upper 95% CI,2000 Life Expectancy,2000 Lower 95% CI,2000 Upper 95% CI,2010 Life Expectancy,2010 Lower 95% CI,2010 Upper 95% CI
1,Rogers Park,54991,39482,3204.8880725907,0.244,0.263,0.393,0.064,0.036,70.9,69.9,71.9,73.1,72.2,74.1,77.3,76.3,78.2
2,West Ridge,71942,47323,3906.3412193156,0.204,0.111,0.427,0.225,0.032,76.9,76.1,77.8,78.1,77.3,78.8,80.3,79.5,81.1
3,Uptown,56362,40324,2164.0466981295,0.142,0.2,0.516,0.114,0.028,64.0,63.1,64.9,71.7,70.8,72.7,76.0,75.1,76.9
4,Lincoln Square,39493,57749,3827.2605271849,0.191,0.038,0.631,0.111,0.029,74.2,73.1,75.4,76.8,75.8,77.8,80.5,79.3,81.6
5,North Center,31867,81524,5307.9988703031,0.136,0.023,0.773,0.045,0.022,73.4,72.1,74.7,77.9,76.6,79.1,81.5,80.1,82.8
6,Lake View,94368,70746,2742.2431332668,0.076,0.039,0.804,0.06,0.021,73.9,73.0,74.8,79.2,78.3,80.2,81.9,81.1,82.7
7,Lincoln Park,64116,82707,3408.6655437027,0.056,0.043,0.829,0.051,0.021,73.9,72.9,74.9,76.5,75.6,77.4,81.3,80.4,82.3
8,Near North Side,80484,76290,1717.6084687635,0.049,0.108,0.721,0.101,0.02,74.9,73.7,76.0,79.6,78.7,80.5,85.2,84.5,86.0
9,Edison Park,11187,77678,4754.6259050653,0.078,0.003,0.884,0.024,0.012,77.6,75.9,79.4,79.4,77.6,81.2,81.0,78.9,83.0
10,Norwood Park,37023,64477,5054.695729686,0.12,0.004,0.815,0.046,0.015,76.7,75.6,77.8,78.4,77.4,79.3,80.9,79.8,82.0
11,Jefferson Park,25448,60592,4633.7629676197,0.194,0.01,0.687,0.089,0.021,76.8,75.4,78.2,79.3,78.1,80.5,79.7,78.6,80.9
12,Forest Glen,18508,87394,5237.1947266022,0.115,0.007,0.746,0.107,0.024,78.8,77.5,80.1,80.6,79.3,81.9,83.4,82.1,84.8
13,North Park,17931,53305,4235.1235290826,0.18,0.032,0.493,0.257,0.038,76.9,75.3,78.4,78.8,77.4,80.3,84.4,82.8,86.0
14,Albany Park,51542,46198,3459.1207170811,0.494,0.04,0.292,0.144,0.029,74.0,72.9,75.0,77.7,76.8,78.7,80.6,79.6,81.7
15,Portage Park,64124,52356,5031.9693094574,0.388,0.013,0.535,0.046,0.017,75.1,74.2,75.9,76.4,75.6,77.2,80.3,79.5,81.1
16,Irving Park,53359,54048,5689.949211944,0.456,0.033,0.417,0.07,0.025,74.6,73.6,75.6,77.0,76.1,77.9,79.6,78.6,80.6
17,Dunning,41932,61584,4794.667556997,0.238,0.007,0.704,0.038,0.013,76.8,75.6,77.9,79.2,78.3,80.2,79.8,70.0,72.7
