"The results listed on this page are from residential homes in Chicago that have requested to have their water tested for lead. The results are anonymized to the block level, so the complete address of each home is not posted. In cases where a sample tests over 15 parts per billion (the action limit set by the EPA), the Department of Water Management will contact the homeowner to discuss the results and schedule a time to resample the water and inspect the home’s plumbing and electrical wiring to better evaluate possible causes.",,,,,,,,,,,,,,,,,,
Follow-Up Sequential Sampling,,Sequential Draws,,,,,,,,,,,Timed,,,,,
Date Sampled,Address,1st Draw,2nd Draw,3rd Draw,4th Draw,5th Draw,6th Draw,7th Draw,8th Draw,9th Draw,10th Draw,11th Draw,3 Minute,5 Minute,7 Minute,10 Minute,15 Minute,20 Minute
9/4/2019,100XX S Bell Ave,1.52,1.37,1.59,2.53,2.44,1.90,2.45,2.92,3.75,3.86,4.35,1.09,,,,,
7/16/2016,100XX S Calhoun Ave,3.70,2.62,8.83,13.8,13.2,13.6,12.3,11.8,10.8,8.01,2.75,2.8,,,,,
12/17/2019,100XX S Calumet Ave,4.02,5.35,6.97,6.55,17.70,16.60,12.10,11.60,12.00,11.10,8.72,3.83,,,,,
7/14/2021,100XX S Carpenter St,14.00,11.00,8.83,8.12,8.69,7.14,11.00,7.51,8.50,8.01,,3.25,2.54,,,,
12/14/2019,100XX S Carpenter St,9.54,7.31,6.95,5.63,4.91,7.15,12.40,13.10,10.10,9.54,7.23,3.08,,,,,
12/14/2021,100XX S Lasalle St,10.00,8.80,6.90,6.20,8.30,9.90,11.00,9.80,10.00,9.50,5.30,2.40,2.10,2.00,1.70,,
9/16/2016,100XX S Washtenaw Ave,2.72,2.73,2.98,3.06,6.33,10.2,10.4,10.4,11.1,11.9,11.4,2,,,,,
1/8/2020,101XX S Dr Martin Luther King Jr Dr,3.67,1.47,1.81,2.39,3.27,5.47,6.27,3.56,1.71,1.35,1.09,0.58,,,,,
10/16/2019,101XX S Eberhart ,3.47,8.82,6.46,4.58,4.4,4.5,7,13.8,14.1,12.5,4.27,1.72,,,,,
3/23/2022,101XX S Lasalle St,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,,,,,
6/18/2021,101XX S Peoria St,4.60,4.90,5.30,6.90,6.50,8.00,8.40,7.90,7.50,7.40,,3.80,3.30,3.30,3.20,3.20,
11/19/2019,101XX S Perry ,3.44,2.56,5.76,6.47,6.95,6.75,8.57,14.4,15.2,15.6,5.25,2.6,,,,,
12/10/2016,101XX S Seeley Ave,8.26,8.29,7.79,8.1,6.84,6.83,6.57,6.57,8.59,9.83,11.1,8.44,,,,,
6/28/2021,101XX S St Lawrence Ave,4.96,2.38,2.81,4.38,3.58,3.89,4.43,7.31,10.50,11.70,,4.15,2.24,,,,
10/26/2021,101XX S Washtenaw Ave,6.40,8.70,6.00,6.10,8.10,13.00,19.00,22.00,23.00,22.00,,,18.00,5.00,3.20,,
5/21/2021,101XX S Yates Ave,4.20,5.30,8.90,12.00,14.00,15.00,13.00,13.00,13.00,12.00,,6.90,2.80,,,,
1/24/2020,101XX S Yates Ave,13.20,57.60,35.20,22.10,17.60,15.60,14.00,13.40,13.80,15.30,17.20,3.79,,,,,
12/20/2016,102XX S Artesian Ave,4.62,4.92,6.12,6.08,5.76,5.28,4.81,4.85,4.86,4.62,1.26,<1,,,,,
