Identity,Date Sampled,Address,Draw1,Draw2,Draw3,Draw4,Draw5,Draw6,Draw7,Draw8,Draw9,Draw10,Draw11,Minute3,Minute5,Minute7,Minute10,Minute15,Minute20
1,9/4/2019,100XX S Bell Ave,1.52,1.37,1.59,2.53,2.44,1.9,2.45,2.92,3.75,3.86,4.35,1.09,,,,,
2,7/16/2016,100XX S Calhoun Ave,3.7,2.62,8.83,13.8,13.2,13.6,12.3,11.8,10.8,8.01,2.75,2.8,,,,,
3,12/17/2019,100XX S Calumet Ave,4.02,5.35,6.97,6.55,17.7,16.6,12.1,11.6,12,11.1,8.72,3.83,,,,,
4,7/14/2021,100XX S Carpenter St,14,11,8.83,8.12,8.69,7.14,11,7.51,8.5,8.01,,3.25,2.54,,,,
5,12/14/2019,100XX S Carpenter St,9.54,7.31,6.95,5.63,4.91,7.15,12.4,13.1,10.1,9.54,7.23,3.08,,,,,
6,12/14/2021,100XX S Lasalle St,10,8.8,6.9,6.2,8.3,9.9,11,9.8,10,9.5,5.3,2.4,2.1,2,1.7,,
7,9/16/2016,100XX S Washtenaw Ave,2.72,2.73,2.98,3.06,6.33,10.2,10.4,10.4,11.1,11.9,11.4,2,,,,,
8,1/8/2020,101XX S Dr Martin Luther King Jr Dr,3.67,1.47,1.81,2.39,3.27,5.47,6.27,3.56,1.71,1.35,1.09,0.58,,,,,
9,10/16/2019,101XX S Eberhart ,3.47,8.82,6.46,4.58,4.4,4.5,7,13.8,14.1,12.5,4.27,1.72,,,,,
10,3/23/2022,101XX S Lasalle St,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
11,6/18/2021,101XX S Peoria St,4.6,4.9,5.3,6.9,6.5,8,8.4,7.9,7.5,7.4,,3.8,3.3,3.3,3.2,3.2,
12,11/19/2019,101XX S Perry ,3.44,2.56,5.76,6.47,6.95,6.75,8.57,14.4,15.2,15.6,5.25,2.6,,,,,
13,12/10/2016,101XX S Seeley Ave,8.26,8.29,7.79,8.1,6.84,6.83,6.57,6.57,8.59,9.83,11.1,8.44,,,,,
14,6/28/2021,101XX S St Lawrence Ave,4.96,2.38,2.81,4.38,3.58,3.89,4.43,7.31,10.5,11.7,,4.15,2.24,,,,
15,10/26/2021,101XX S Washtenaw Ave,6.4,8.7,6,6.1,8.1,13,19,22,23,22,,,18,5,3.2,,
16,5/21/2021,101XX S Yates Ave,4.2,5.3,8.9,12,14,15,13,13,13,12,,6.9,2.8,,,,
17,1/24/2020,101XX S Yates Ave,13.2,57.6,35.2,22.1,17.6,15.6,14,13.4,13.8,15.3,17.2,3.79,,,,,
18,12/20/2016,102XX S Artesian Ave,4.62,4.92,6.12,6.08,5.76,5.28,4.81,4.85,4.86,4.62,1.26,0,,,,,
19,2/11/2019,102XX S Forest ,3.04,4,4.06,5.77,9.88,9.24,9.08,7.15,4.21,2.14,1.4,1.25,1.2,1.12,0,,
20,6/23/2021,102XX S May St,6.03,10.9,15,25.2,22.2,18.3,9.65,7.35,6.64,6.11,,,4.66,4.78,5.07,5.07,
21,9/17/2019,102XX S Oglesby Ave,9.7,25.6,41.5,42.1,36.2,31.2,26,23.7,20.3,16.2,4.85,4.46,,,,,
22,9/28/2016,103XX S Hamilton Ave,1.24,3.35,3.23,6.19,6.78,6.57,8.94,9.38,8.98,8.49,8.88,6.82,,,,,
23,8/29/2019,103XX S Peoria ,7.82,2.89,1.69,1.17,1.17,1.14,1.33,1.48,1.47,1.86,1.21,1.13,,,,,
24,10/8/2016,103XX S Prospect Ave,4.6,4.65,5.92,6.72,10.3,16.5,12,12.8,13.3,12.8,6.78,5.55,,,,,
25,8/26/2016,103XX S St Louis Ave,0,0,2.34,2.35,5.64,12.3,13.4,12.7,12,10.3,6.93,0,,,,,
26,7/25/2016,103XX S Vernon Ave,3.49,3.3,3.32,5.7,3.9,4.56,5.3,5.5,7.27,7.67,9.34,16.2,,,,,
27,10/29/2019,104XX S Albany ,5.08,5.69,5.12,6.48,6.87,16.3,17.6,16.3,17.5,13.4,9.86,3.67,,,,,
28,6/18/2019,104XX S Albany ,1.01,1.67,2.46,3.39,5.08,4.63,4.61,4.79,4.63,3.52,1.09,1.12,,,,,
29,3/10/2022,104XX S Avenue F ,8.3,10,13,9.1,7.7,6.6,9,12,14,17,16,3.9,3.5,3.2,3,,
30,3/2/2019,104XX S Avenue J ,4.58,13,16.9,17,17.2,17.8,12.9,26.8,22.6,17.7,12.7,3.32,,,,,
31,6/8/2021,104XX S Calumet Ave,11,13,16,16,16,19,18,18,17,15,,12,4.9,,,,
32,11/30/2021,104XX S Corliss Ave,26.7,62.5,26.3,12.7,11.2,9.9,10.9,10.9,10.2,10,,7.92,7.73,7.47,6.83,,
33,6/17/2021,104XX S Eggleston Ave,10.5,12.8,9.11,11.1,12.8,14.4,25.6,26.1,20.3,20.6,,41.2,6.05,,,,
34,9/14/2021,104XX S Rhodes Ave,4.5,6.6,7.5,7.8,7.6,9.4,13,13,11,11,12,5.3,,,,,
35,11/1/2021,104XX S Springfield Ave,3.23,3.55,5.96,7.79,8.29,10.7,19.3,19.7,17.8,17,14.5,2.19,,,,,
36,1/13/2017,104XX S Trumbull Ave,7.16,13.3,12,10.4,10.3,10.4,9.3,8.34,8.63,8.2,0,0,,,,,
37,10/10/2019,105XX S Central Park Ave,4.35,3.59,3.55,3.6,8.56,15.5,18.7,18,15,14.2,1.7,1.56,,,,,
38,12/13/2017,105XX S Christiana Ave**,3.06,5.82,7.08,7.13,7.28,6.7,8.22,10.6,15,17.2,15.8,2.9,,,,,
39,4/25/2018,105XX S Christiana Ave**,2.16,6.16,6.46,7.69,8.33,8.71,8.88,10.1,10.1,9.85,7.9,1.83,,,,,
40,10/24/2019,105XX S Emerald ,3.67,6.74,11.5,6.66,9.31,10.8,7.57,7.22,8.93,8.87,3.33,2.11,,,,,
41,10/29/2019,105XX S Homan Ave,5.43,5.43,5.61,5.82,5.25,9.74,11.4,12.2,12.6,12.7,13.7,2.37,,,,,
42,3/13/2020,105XX S Kedzie Ave,5.35,6.02,6.93,14.5,20.2,21.9,20.1,18.4,16.9,15,12.8,8.62,2.65,2.33,2.24,,
43,11/4/2021,105XX S Kedzie Ave,9.65,14.2,12.1,13.5,17,17.4,16.6,15.9,15.9,15.5,12.3,7.46,6.88,6.48,6.84,,
44,10/8/2019,105XX S Oakley Ave,10.6,15.6,15.8,20.4,22.2,21.4,21.9,21.9,19.6,21.6,20.7,18.5,15.1,7.22,6.58,,
45,8/30/2021,105XX S Seeley Ave,4.41,4.53,4.89,4.21,4.68,5.29,6.13,7.05,8.52,9.3,8.52,9.56,3.66,2.29,1.94,,
46,6/15/2021,106XX S Aberdeen St,8.6,10,6.3,4.7,5.4,7.6,4.6,5.5,6.2,4.5,,2.2,2.1,1.9,1.9,2.5,
47,10/19/2021,106XX S Church St,2.71,5.26,10.1,11.4,12.7,12.5,12.3,11.2,10.7,9.07,6.32,2.59,,,,,
48,9/10/2019,106XX S Drake Ave,4.17,3.63,4.17,5.19,13.7,18.7,17.1,15.2,16.4,16.9,15.3,1.96,,,,,
49,11/30/2021,106XX S Eberhart Ave,14,14.1,14.3,14.1,14.1,14.1,13.1,11.4,14.7,26.2,26.6,7.94,3.42,3.51,2.83,,
50,1/25/2022,106XX S Eberhart Ave,5.7,6.2,9.9,9.5,10,12,11,11,9.6,8.3,,2.8,,,,,
51,7/22/2016,106XX S Leaveitt St**,24.8,20.4,32.5,33.8,37.2,50.8,59.5,57.1,48.7,39.6,28.6,20.6,,,,,
52,12/23/2016,106XX S Leaveitt St**,2.71,3.91,3.9,4.3,4.85,5,5.51,6.88,7.74,7.5,0,0,,,,,
53,12/3/2019,106XX S Normal Ave ,7.05,8.7,8.74,9,9.32,10.5,10.7,10.5,10.7,10.8,7.42,6.29,5.74,5.46,5.11,,
54,3/6/2019,106XX S Talman ,5.7,5.62,6.34,7.33,12.9,25.3,,15.9,14.9,14.5,,11.9,10.7,4.76,2.91,,
55,2/25/2017,107XX S Avenue O ,10.7,8.75,7.21,10.3,15,19.7,16.6,15,14.9,16,3.6,1.49,,,,,
56,6/15/2021,107XX S Buffalo Ave,6.8,30,23,21,13,8.3,13,13,7.9,6.6,,6.3,5.8,,,,
