CAMNT,sm001,sm002,sm003,sm004,sm005,sm008,sm009,sm010,sm011,sm012,sm013,sm016,sm017,sm018,sm019,sm020,sm024,sm025,sm026,sm027
CAMNT_0023928115,214,376,204,347,411,237,262,198,199,229,411,394,299,277,251,411,288,221,256,230
CAMNT_0023928149,56,40,28,37,27,112,76,50,26,23,27,169,76,45,35,27,61,73,66,29
CAMNT_0023928253,30,45,11,38,38,28,16,29,23,19,38,15,9,31,16,38,21,28,11,10
CAMNT_0023928285,12,12,11,11,15,13,3,13,9,14,15,7,8,7,23,15,16,11,6,11
CAMNT_0023928443,210,215,216,266,338,286,225,231,174,186,338,523,897,316,246,338,243,263,235,134
CAMNT_0023928547,27,20,13,14,18,20,11,10,6,14,18,18,12,6,34,18,15,18,13,9
CAMNT_0023928667,10,21,71,70,39,1,3,35,37,55,39,1,7,17,54,39,3,7,21,42
CAMNT_0023928719,20,13,8,21,13,7,5,8,19,10,13,20,12,6,19,13,18,18,13,7
CAMNT_0023928739,31,50,29,149,164,107,63,47,58,40,164,133,71,70,25,164,81,69,32,27
CAMNT_0023928805,13,8,15,25,24,14,18,31,17,23,24,9,6,12,18,24,9,13,16,11
CAMNT_0023928835,5,10,12,7,10,11,18,3,10,9,10,3,4,14,7,10,16,10,6,7
CAMNT_0023929429,4,6,9,8,12,7,9,11,12,13,12,14,10,1,7,12,17,9,10,9
CAMNT_0023929473,13,18,12,24,13,11,7,17,13,11,13,16,11,18,13,13,14,15,8,7
CAMNT_0023929657,11,13,10,18,9,7,6,6,6,10,9,17,9,4,10,9,6,6,8,3
CAMNT_0023929677,46,37,36,60,60,27,23,35,33,31,60,32,14,38,42,60,32,28,32,25
CAMNT_0023929871,30,27,22,24,19,23,30,20,18,22,19,16,18,50,32,19,39,22,30,41
CAMNT_0023929907,23,19,15,34,25,24,21,6,10,7,25,40,21,20,11,25,12,17,13,26
CAMNT_0023929931,13,14,22,8,10,14,10,13,4,6,10,6,3,4,11,10,4,14,10,8
CAMNT_0023929945,9,23,15,21,12,21,10,16,13,19,12,19,28,14,27,12,10,20,25,9
CAMNT_0023930047,30,10,11,10,16,26,9,23,10,13,16,30,19,11,11,16,17,15,18,4
CAMNT_0023930147,45,74,49,76,34,48,43,93,52,47,34,71,60,71,87,34,51,70,69,48
CAMNT_0023930169,24,19,10,24,8,8,12,23,29,16,8,18,10,15,16,8,5,12,5,14
CAMNT_0023930305,18,21,11,20,24,26,6,15,9,14,24,23,23,15,16,24,14,22,16,12
CAMNT_0023930745,9,13,9,12,7,10,5,17,9,12,7,14,5,9,11,7,6,14,8,4
CAMNT_0023930961,10,17,4,10,13,6,11,15,8,15,13,9,7,10,5,13,8,7,7,2
CAMNT_0023930993,25,22,16,44,42,47,25,31,20,20,42,33,29,31,21,42,30,20,17,9
CAMNT_0023931153,13,33,14,16,4,6,4,20,12,30,4,1,6,22,23,4,3,0,20,8
CAMNT_0023931251,23,15,4,15,35,21,21,7,14,6,35,26,17,28,20,35,9,14,16,4
CAMNT_0023931381,9,10,15,7,20,15,9,13,10,16,20,14,11,18,29,20,16,16,20,14
CAMNT_0023931405,7,14,21,20,13,9,3,11,10,15,13,19,8,8,16,13,9,9,12,12
CAMNT_0023931433,19,43,36,53,45,40,28,42,29,36,45,52,27,51,23,45,25,23,43,34
CAMNT_0023931527,27,23,11,19,22,23,13,16,10,19,22,21,18,6,39,22,15,18,12,10
CAMNT_0023931561,26,39,32,33,26,29,37,36,26,30,26,34,20,40,24,26,26,30,40,26
CAMNT_0023931583,5,11,9,11,6,10,7,13,8,8,6,8,9,9,12,6,20,7,17,3
CAMNT_0023931587,34,55,21,21,13,34,31,34,15,33,13,42,18,7,12,13,18,28,15,24
CAMNT_0023931853,3,20,49,19,1,2,4,17,25,50,1,3,3,41,55,1,0,4,10,48
CAMNT_0023931855,10,14,24,23,17,10,13,18,15,16,17,19,14,13,24,17,10,24,21,21
CAMNT_0023931995,23,17,19,22,24,53,15,17,3,19,24,26,16,17,10,24,39,24,9,12
CAMNT_0023932059,13,20,20,8,14,11,3,13,14,17,14,9,19,11,19,14,8,14,24,7
CAMNT_0023932201,20,45,102,60,10,14,14,45,40,104,10,30,37,49,138,10,31,18,41,102
CAMNT_0023932255,18,37,36,27,16,5,16,24,15,52,16,14,12,18,40,16,12,23,25,22
CAMNT_0023932381,63,75,76,34,34,17,18,43,35,34,34,60,34,14,44,34,22,86,50,48
CAMNT_0023932675,31,32,24,29,27,32,21,31,19,45,27,48,45,33,55,27,31,42,40,33
CAMNT_0023932821,13,12,17,9,9,13,15,11,5,17,9,15,15,3,11,9,12,13,11,10
CAMNT_0023932891,24,19,8,23,14,29,26,18,5,20,14,38,10,13,7,14,13,18,6,13
CAMNT_0023932913,29,20,24,30,11,25,19,23,15,20,11,27,20,11,19,11,16,21,27,31
CAMNT_0023932933,12,23,19,22,17,18,17,24,10,16,17,32,13,27,21,17,17,24,18,19
CAMNT_0023933063,14,15,7,15,9,19,30,16,10,15,9,15,16,7,22,9,7,22,20,18
CAMNT_0023933127,14,12,10,22,16,9,10,14,8,12,16,30,9,13,22,16,3,17,8,4
CAMNT_0023933135,3,13,6,17,28,26,13,16,7,6,28,29,24,22,8,28,9,7,17,6
CAMNT_0023933379,42,35,22,20,26,43,33,34,17,16,26,64,36,20,47,26,31,28,16,12
CAMNT_0023933483,29,33,23,34,23,31,17,41,17,22,23,21,21,29,22,23,16,29,29,22
CAMNT_0023933487,9,20,7,26,21,3,8,27,8,29,21,8,5,29,20,21,4,2,18,22
CAMNT_0023933591,44,69,41,64,40,42,39,48,29,58,40,40,39,42,53,40,34,72,69,46
CAMNT_0023933673,17,34,28,27,23,30,13,32,28,41,23,46,38,39,49,23,30,39,39,27
CAMNT_0023933687,9,23,19,16,8,13,6,21,22,19,8,25,18,17,41,8,8,13,8,13
CAMNT_0023933761,11,9,12,16,6,19,7,6,6,12,6,18,9,9,4,6,8,13,9,8
CAMNT_0023933863,13,9,10,33,34,16,6,20,5,5,34,12,14,8,18,34,8,10,7,4
CAMNT_0023934051,15,12,11,5,13,8,18,10,7,17,13,15,13,5,8,13,13,8,15,11
CAMNT_0023934217,29,19,22,17,31,17,13,16,13,20,31,20,18,14,18,31,5,13,19,14
CAMNT_0023934605,37,118,150,219,120,22,29,157,78,204,120,37,22,102,199,120,17,37,122,119
CAMNT_0023934981,7,20,18,20,9,3,16,32,33,21,9,13,5,23,29,9,8,18,21,29
CAMNT_0023935201,2,15,33,10,3,1,2,15,7,51,3,1,3,11,84,3,2,1,5,28
CAMNT_0023935397,11,24,15,27,10,14,12,11,10,19,10,23,18,21,25,10,24,22,9,13
CAMNT_0023935529,20,8,7,14,17,13,9,17,4,5,17,20,13,20,12,17,2,11,7,12
CAMNT_0023935533,17,17,14,15,5,13,4,10,10,5,5,12,13,5,13,5,4,10,6,4
CAMNT_0023935665,13,21,16,22,13,11,11,18,9,11,13,22,8,3,12,13,12,11,5,17
CAMNT_0023935693,25,50,62,147,94,23,20,29,82,63,94,12,18,22,50,94,10,16,19,26
CAMNT_0023936099,9,14,13,14,9,9,9,7,10,12,9,14,7,3,9,9,8,10,10,7
CAMNT_0023936171,6,17,14,35,25,9,8,8,19,16,25,11,11,9,9,25,16,20,7,11
CAMNT_0023936385,13,17,6,18,8,8,7,12,7,9,8,25,11,4,8,8,16,5,3,17
CAMNT_0023936419,7,19,19,12,7,12,16,12,19,10,7,19,2,6,6,7,10,11,13,11
CAMNT_0023936431,31,31,16,40,36,37,17,14,17,11,36,32,25,26,22,36,30,19,14,20
CAMNT_0023936437,10,13,13,19,17,16,8,14,6,18,17,15,13,10,14,17,10,13,4,7
CAMNT_0023936445,19,16,14,25,14,20,20,27,4,27,14,24,12,20,23,14,27,28,17,11
CAMNT_0023936501,10,8,4,10,14,7,8,10,6,2,14,21,11,14,12,14,3,7,13,8
CAMNT_0023936685,18,11,23,19,21,10,10,19,6,17,21,11,11,19,9,21,21,12,19,13
CAMNT_0023936689,26,50,45,30,40,31,45,36,16,41,40,47,27,35,32,40,39,26,34,25
CAMNT_0023936691,8,16,5,14,11,21,15,8,4,11,11,27,10,6,9,11,7,15,9,3
CAMNT_0023936693,12,18,27,35,15,9,22,25,23,39,15,19,25,33,53,15,23,18,16,20
CAMNT_0023936697,14,17,8,16,10,15,14,20,6,1,10,20,11,9,15,10,8,8,14,7
CAMNT_0023936715,31,31,41,25,25,28,24,31,29,29,25,65,38,23,39,25,36,34,56,30
CAMNT_0023936717,467,653,354,654,1275,505,507,465,383,308,1275,536,640,576,482,1275,356,452,462,403
CAMNT_0023936721,25,32,25,24,17,18,27,21,16,26,17,19,12,11,19,17,18,27,13,10
CAMNT_0023936729,13,14,9,19,11,9,8,16,10,9,11,6,8,8,6,11,15,9,8,2
CAMNT_0023936735,15,12,10,11,9,8,6,8,5,20,9,10,8,15,11,9,12,10,12,12
CAMNT_0023936741,530,537,521,740,602,546,427,567,461,491,602,1238,708,440,602,602,383,554,410,470
CAMNT_0023936743,16,13,11,15,12,10,10,20,12,8,12,17,9,13,13,12,6,11,14,13
CAMNT_0023936747,10,4,5,12,8,8,8,11,10,10,8,29,17,7,20,8,3,7,3,14
CAMNT_0023936773,23,13,13,16,12,13,6,9,16,10,12,22,15,12,14,12,3,17,12,9
CAMNT_0023936797,15,12,13,12,11,18,12,6,10,19,11,14,12,11,16,11,16,7,12,6
CAMNT_0023936809,15,21,5,15,9,16,16,8,4,13,9,22,13,10,10,9,9,7,10,11
CAMNT_0023936813,19,25,39,64,17,12,9,17,29,41,17,11,10,24,64,17,9,12,16,20
CAMNT_0023936833,23,25,24,45,14,26,24,33,11,24,14,36,36,22,22,14,23,29,16,18
CAMNT_0023936839,118,149,86,142,115,109,73,104,65,104,115,189,84,71,143,115,121,113,72,67
CAMNT_0023936841,23,27,20,25,19,23,14,17,16,24,19,23,19,23,26,19,28,16,23,9
CAMNT_0023936905,55,82,105,61,36,49,38,62,32,45,36,62,52,54,74,36,35,57,32,31
CAMNT_0023936949,11,9,8,21,11,14,9,14,10,7,11,24,9,11,9,11,13,11,12,4
CAMNT_0023936969,7,6,12,7,10,11,14,11,5,14,10,19,7,8,10,10,8,6,12,9
CAMNT_0023936973,9,9,10,11,13,10,17,9,15,13,13,12,5,10,15,13,7,16,10,4
CAMNT_0023936981,11,4,9,16,6,15,3,12,9,5,6,22,15,1,9,6,16,7,10,11
CAMNT_0023936991,37,33,21,46,49,40,7,24,24,13,49,43,18,21,26,49,24,55,24,11
CAMNT_0023937011,18,22,18,27,24,18,18,27,7,18,24,28,22,19,31,24,24,32,39,30
CAMNT_0023937013,253,357,191,376,754,271,269,299,194,192,754,296,394,340,285,754,184,232,285,244
CAMNT_0023937027,9,26,9,18,9,11,18,9,9,18,9,7,10,7,18,9,9,10,5,10
CAMNT_0023937035,37,72,47,63,63,53,41,46,40,64,63,78,48,58,69,63,43,56,57,54
CAMNT_0023937045,10,24,74,54,6,12,10,33,28,83,6,15,16,32,91,6,18,11,24,63
CAMNT_0023937081,10,17,9,9,12,13,11,16,2,9,12,23,19,8,13,12,14,22,9,7
CAMNT_0023937085,29,48,41,35,30,30,28,40,35,44,30,54,33,48,59,30,48,38,43,37
