CAMNT_ID,WGCNA_Module_Num,RAIN_diel_Results,KEGG_Annotations
CAMNT_0024302971,7,FALSE,00910 Nitrogen metabolism [PATH:ko00910]
CAMNT_0024014877,4,FALSE,00030 Pentose phosphate pathway [PATH:ko00030]
CAMNT_0024014645,9,TRUE,00190 Oxidative phosphorylation [PATH:ko00190]
CAMNT_0023937169,9,TRUE,00190 Oxidative phosphorylation [PATH:ko00190]
CAMNT_0024335527,9,TRUE,00190 Oxidative phosphorylation [PATH:ko00190]
CAMNT_0024259217,3,TRUE,00190 Oxidative phosphorylation [PATH:ko00190]
CAMNT_0024018903,1,TRUE,00190 Oxidative phosphorylation [PATH:ko00190]
CAMNT_0023939643,3,TRUE,00190 Oxidative phosphorylation [PATH:ko00190]
CAMNT_0024015181,9,TRUE,00190 Oxidative phosphorylation [PATH:ko00190]
CAMNT_0024018279,3,TRUE,00190 Oxidative phosphorylation [PATH:ko00190]
CAMNT_0024092133,9,TRUE,00190 Oxidative phosphorylation [PATH:ko00190]
CAMNT_0024172667,3,TRUE,00190 Oxidative phosphorylation [PATH:ko00190]
CAMNT_0024174411,9,TRUE,00190 Oxidative phosphorylation [PATH:ko00190]
CAMNT_0024256067,3,TRUE,00190 Oxidative phosphorylation [PATH:ko00190]
CAMNT_0024271785,3,TRUE,00190 Oxidative phosphorylation [PATH:ko00190]
CAMNT_0024345937,9,TRUE,00190 Oxidative phosphorylation [PATH:ko00190]
CAMNT_0024386463,3,TRUE,00190 Oxidative phosphorylation [PATH:ko00190]
CAMNT_0024513013,3,TRUE,00190 Oxidative phosphorylation [PATH:ko00190]
CAMNT_0041801723,9,TRUE,00190 Oxidative phosphorylation [PATH:ko00190]
CAMNT_0041830537,2,FALSE,00190 Oxidative phosphorylation [PATH:ko00190]
CAMNT_0041618209,3,FALSE,00190 Oxidative phosphorylation [PATH:ko00190]
CAMNT_0041835053,9,FALSE,00190 Oxidative phosphorylation [PATH:ko00190]
CAMNT_0041649017,0,FALSE,00190 Oxidative phosphorylation [PATH:ko00190]
CAMNT_0041795205,1,FALSE,00190 Oxidative phosphorylation [PATH:ko00190]
CAMNT_0024374487,0,FALSE,00190 Oxidative phosphorylation [PATH:ko00190]
CAMNT_0024081677,3,FALSE,00190 Oxidative phosphorylation [PATH:ko00190]
CAMNT_0024016119,12,FALSE,00190 Oxidative phosphorylation [PATH:ko00190]
CAMNT_0041593637,0,FALSE,00190 Oxidative phosphorylation [PATH:ko00190]
CAMNT_0041760699,0,FALSE,00190 Oxidative phosphorylation [PATH:ko00190]
CAMNT_0041830537,2,FALSE,00195 Photosynthesis [PATH:ko00195]
CAMNT_0024014877,4,FALSE,00710 Carbon fixation in photosynthetic organisms [PATH:ko00710]
CAMNT_0024014877,4,FALSE,01051 Biosynthesis of ansamycins [PATH:ko01051]
CAMNT_0024014877,4,FALSE,01200 Carbon metabolism [PATH:ko01200]
CAMNT_0024014877,4,FALSE,01230 Biosynthesis of amino acids [PATH:ko01230]
CAMNT_0024259217,3,TRUE,04142 Lysosome [PATH:ko04142]
CAMNT_0024018903,1,TRUE,04142 Lysosome [PATH:ko04142]
CAMNT_0024015181,9,TRUE,04142 Lysosome [PATH:ko04142]
CAMNT_0024092133,9,TRUE,04142 Lysosome [PATH:ko04142]
CAMNT_0024174411,9,TRUE,04142 Lysosome [PATH:ko04142]
CAMNT_0024271785,3,TRUE,04142 Lysosome [PATH:ko04142]
CAMNT_0024345937,9,TRUE,04142 Lysosome [PATH:ko04142]
CAMNT_0041801723,9,TRUE,04142 Lysosome [PATH:ko04142]
CAMNT_0041618209,3,FALSE,04142 Lysosome [PATH:ko04142]
CAMNT_0041835053,9,FALSE,04142 Lysosome [PATH:ko04142]
CAMNT_0041649017,0,FALSE,04142 Lysosome [PATH:ko04142]
CAMNT_0041795205,1,FALSE,04142 Lysosome [PATH:ko04142]
CAMNT_0024374487,0,FALSE,04142 Lysosome [PATH:ko04142]
CAMNT_0024016119,12,FALSE,04142 Lysosome [PATH:ko04142]
CAMNT_0041593637,0,FALSE,04142 Lysosome [PATH:ko04142]
CAMNT_0024259217,3,TRUE,04145 Phagosome [PATH:ko04145]
CAMNT_0024018903,1,TRUE,04145 Phagosome [PATH:ko04145]
CAMNT_0023939643,3,TRUE,04145 Phagosome [PATH:ko04145]
CAMNT_0024015181,9,TRUE,04145 Phagosome [PATH:ko04145]
CAMNT_0024018279,3,TRUE,04145 Phagosome [PATH:ko04145]
CAMNT_0024092133,9,TRUE,04145 Phagosome [PATH:ko04145]
CAMNT_0024172667,3,TRUE,04145 Phagosome [PATH:ko04145]
CAMNT_0024174411,9,TRUE,04145 Phagosome [PATH:ko04145]
CAMNT_0024256067,3,TRUE,04145 Phagosome [PATH:ko04145]
CAMNT_0024271785,3,TRUE,04145 Phagosome [PATH:ko04145]
CAMNT_0024345937,9,TRUE,04145 Phagosome [PATH:ko04145]
CAMNT_0024386463,3,TRUE,04145 Phagosome [PATH:ko04145]
CAMNT_0024513013,3,TRUE,04145 Phagosome [PATH:ko04145]
CAMNT_0041801723,9,TRUE,04145 Phagosome [PATH:ko04145]
CAMNT_0041618209,3,FALSE,04145 Phagosome [PATH:ko04145]
CAMNT_0041835053,9,FALSE,04145 Phagosome [PATH:ko04145]
CAMNT_0041649017,0,FALSE,04145 Phagosome [PATH:ko04145]
CAMNT_0041795205,1,FALSE,04145 Phagosome [PATH:ko04145]
CAMNT_0024374487,0,FALSE,04145 Phagosome [PATH:ko04145]
CAMNT_0024081677,3,FALSE,04145 Phagosome [PATH:ko04145]
CAMNT_0024016119,12,FALSE,04145 Phagosome [PATH:ko04145]
CAMNT_0041593637,0,FALSE,04145 Phagosome [PATH:ko04145]
CAMNT_0041760699,0,FALSE,04145 Phagosome [PATH:ko04145]
CAMNT_0024259217,3,TRUE,04721 Synaptic vesicle cycle [PATH:ko04721]
CAMNT_0024018903,1,TRUE,04721 Synaptic vesicle cycle [PATH:ko04721]
CAMNT_0023939643,3,TRUE,04721 Synaptic vesicle cycle [PATH:ko04721]
CAMNT_0024015181,9,TRUE,04721 Synaptic vesicle cycle [PATH:ko04721]
CAMNT_0024018279,3,TRUE,04721 Synaptic vesicle cycle [PATH:ko04721]
CAMNT_0024092133,9,TRUE,04721 Synaptic vesicle cycle [PATH:ko04721]
CAMNT_0024172667,3,TRUE,04721 Synaptic vesicle cycle [PATH:ko04721]
CAMNT_0024174411,9,TRUE,04721 Synaptic vesicle cycle [PATH:ko04721]
CAMNT_0024256067,3,TRUE,04721 Synaptic vesicle cycle [PATH:ko04721]
CAMNT_0024271785,3,TRUE,04721 Synaptic vesicle cycle [PATH:ko04721]
CAMNT_0024345937,9,TRUE,04721 Synaptic vesicle cycle [PATH:ko04721]
CAMNT_0024386463,3,TRUE,04721 Synaptic vesicle cycle [PATH:ko04721]
CAMNT_0024513013,3,TRUE,04721 Synaptic vesicle cycle [PATH:ko04721]
CAMNT_0041801723,9,TRUE,04721 Synaptic vesicle cycle [PATH:ko04721]
CAMNT_0041618209,3,FALSE,04721 Synaptic vesicle cycle [PATH:ko04721]
CAMNT_0041835053,9,FALSE,04721 Synaptic vesicle cycle [PATH:ko04721]
CAMNT_0041649017,0,FALSE,04721 Synaptic vesicle cycle [PATH:ko04721]
CAMNT_0041795205,1,FALSE,04721 Synaptic vesicle cycle [PATH:ko04721]
CAMNT_0024374487,0,FALSE,04721 Synaptic vesicle cycle [PATH:ko04721]
CAMNT_0024081677,3,FALSE,04721 Synaptic vesicle cycle [PATH:ko04721]
CAMNT_0024016119,12,FALSE,04721 Synaptic vesicle cycle [PATH:ko04721]
CAMNT_0041593637,0,FALSE,04721 Synaptic vesicle cycle [PATH:ko04721]
CAMNT_0041760699,0,FALSE,04721 Synaptic vesicle cycle [PATH:ko04721]
CAMNT_0024259217,3,TRUE,04966 Collecting duct acid secretion [PATH:ko04966]
